trans_tm,sys_tra_no,pdate
20171212213610,157981,20171212
20171220205730,85199,20171220
20171220205525,944091,20171220
20171220205442,310784,20171220
20171220121027,737185,20171220
20171219214036,595498,20171219
20171220124625,907688,20171220
20171220124651,804596,20171220
20171220190150,470587,20171220
20171220190205,88388,20171220
20171220190115,615495,20171220
20171220205143,179082,20171220
20171221201745,106092,20171221
20171221201037,756295,20171221
20171221190831,321399,20171221
20171221190049,838980,20171221
20171221190657,215984,20171221
20171221190804,580490,20171221
20171221190736,412598,20171221
20171221190857,760991,20171221
20171221190914,322989,20171221
20171221190750,776496,20171221
20171221190721,556795,20171221
20171221190817,749591,20171221
20171220190103,625590,20171220
20171213124101,702398,20171213
20171213124033,200084,20171213
20171213124114,746288,20171213
20171211211755,231285,20171211
20171211173955,99684,20171211
20171211061219,259591,20171211
20171211061203,784880,20171211
20171211061146,724986,20171211
20171211061118,724687,20171211
20171211120754,197590,20171211
20171211120840,541986,20171211
20171211120902,460981,20171211
20171220230234,843498,20171220
20171220230243,914695,20171220
20171220230254,10586,20171220
20171220230306,865381,20171220
20171210183930,288298,20171210
20171210183939,652390,20171210
20171210184020,433393,20171210
20171210204214,23894,20171210
20171210204226,93286,20171210
20171210204238,373088,20171210
20171210204325,211384,20171210
20171210204337,118083,20171210
20171210204528,751789,20171210
20171210174650,392291,20171210
20171221170911,441398,20171221
20171221170937,739787,20171221
20171221170953,745287,20171221
20171221171010,749087,20171221
20171221171027,896382,20171221
20171220212617,68594,20171220
20171221194640,774797,20171221
20171221194756,551587,20171221
20171221194404,279090,20171221
20171221194700,203794,20171221
20171221194624,769697,20171221
20171221194528,755597,20171221
20171221194807,193598,20171221
20171221194546,753288,20171221
20171220211817,470982,20171220
20171220211914,130390,20171220
20171221170318,151389,20171221
20171221050008,375390,20171221
20171221045942,423882,20171221
20171221045930,77489,20171221
20171221204358,432682,20171221
20171222133418,754997,20171222
20171222133805,962393,20171222
20171222133358,194594,20171222
20171222133543,539691,20171222
20171222133647,757981,20171222
20171222133731,64082,20171222
20171222133717,425890,20171222
20171222133702,762981,20171222
20171222133520,778797,20171222
20171222133746,226598,20171222
20171222143531,545598,20171222
20171222143645,202084,20171222
20171222142651,952297,20171222
20171222142708,31984,20171222
20171222142724,734891,20171222
20171222142746,366698,20171222
20171222142809,966483,20171222
20171222142829,738680,20171222
20171221211954,596681,20171221
20171222162446,714481,20171222
20171222183312,48897,20171222
20171222194156,653588,20171222
20171222101652,75692,20171222
20171222105831,304291,20171222
20171222105907,560597,20171222
20171222105812,141190,20171222
20171222201310,610594,20171222
20171222164746,95692,20171222
20171222165136,15790,20171222
20171222165156,429985,20171222
20171222165211,329387,20171222
20171222165225,192891,20171222
20171222164708,269086,20171222
20171222164805,931190,20171222
20171222164649,254497,20171222
20171222164840,300586,20171222
20171222164821,257087,20171222
20171222175554,227393,20171222
20171222175609,917292,20171222
20171222175626,118197,20171222
20171222175639,526098,20171222
20171222175654,918191,20171222
20171222175707,771990,20171222
20171222175721,269993,20171222
20171222175735,275693,20171222
20171222175757,964892,20171222
20171222175810,665187,20171222
20171222234432,295788,20171222
20171222234455,645082,20171222
20171222234407,416780,20171222
20171222234745,670094,20171222
20171222234730,335293,20171222
20171222234344,576698,20171222
20171222234312,797395,20171222
20171222234708,564589,20171222
20171222234653,667594,20171222
20171222150038,331087,20171222
20171222145948,340890,20171222
20171222150005,524583,20171222
20171222145932,106298,20171222
20171222154614,128487,20171222
20171222154629,273794,20171222
20171222174549,829897,20171222
20171222191852,900192,20171222
20171222191909,221593,20171222
20171222191922,999581,20171222
20171222192058,122997,20171222
20171222192114,103080,20171222
20171222192128,733495,20171222
20171222192141,511289,20171222
20171222192154,280193,20171222
20171222192207,746595,20171222
20171222192233,263888,20171222
20171222192243,986292,20171222
20171222192254,990492,20171222
20171222192307,550199,20171222
20171222192319,835790,20171222
20171222192330,4392,20171222
20171222192342,69581,20171222
20171222192354,293688,20171222
20171222192406,189497,20171222
20171222192418,330193,20171222
20171222192429,385182,20171222
20171222192441,192887,20171222
20171222192454,303085,20171222
20171222192506,198987,20171222
20171222192520,586889,20171222
20171222192540,173380,20171222
20171222192550,635998,20171222
20171222192606,48691,20171222
20171222192619,324185,20171222
20171222192631,648698,20171222
20171222192644,63491,20171222
20171222193126,999590,20171222
20171222193151,90496,20171222
20171222193208,356697,20171222
20171222193223,610384,20171222
20171222193251,617084,20171222
20171222173647,504784,20171222
20171222174438,198198,20171222
20171222174343,359695,20171222
20171222185828,873185,20171222
20171222185810,805886,20171222
20171222185844,778287,20171222
20171222185730,991289,20171222
20171222185753,656481,20171222
20171222183552,218588,20171222
20171222183605,348480,20171222
20171222183619,352280,20171222
20171222183632,724595,20171222
20171222183645,547698,20171222
20171223150429,734396,20171223
20171223150446,704190,20171223
20171223163642,964392,20171223
20171223163659,818596,20171223
20171223205626,994798,20171223
20171223205647,590897,20171223
20171222181155,272796,20171222
20171222190547,133399,20171222
20171222190530,794597,20171222
20171222221019,759497,20171222
20171222221004,161598,20171222
20171223160900,631793,20171223
20171223160721,286091,20171223
20171223160623,572893,20171223
20171223170804,522190,20171223
20171223170819,496395,20171223
20171223171208,653796,20171223
20171223171149,163899,20171223
20171223173900,781688,20171223
20171223173924,769683,20171223
20171223195656,729281,20171223
20171223195714,826688,20171223
20171223201633,299583,20171223
20171223201717,296882,20171223
20171223192307,893892,20171223
20171223192402,453589,20171223
20171223192326,723799,20171223
20171223192347,675595,20171223
20171223174626,717491,20171223
20171223173807,636585,20171223
20171223173751,633285,20171223
20171223173822,38189,20171223
20171223174521,745797,20171223
20171223174540,696891,20171223
20171223174611,710491,20171223
20171223174556,240489,20171223
20171223174641,987088,20171223
20171223173837,509891,20171223
20171224101352,151892,20171224
20171224171503,205298,20171224
20171224171404,402585,20171224
20171224165956,177096,20171224
20171224170027,67286,20171224
20171224170042,989180,20171224
20171224165940,896481,20171224
20171224171453,299489,20171224
20171224171435,183781,20171224
20171224175018,399699,20171224
20171224183405,126584,20171224
20171224183423,556596,20171224
20171224193856,560498,20171224
20171224183225,150498,20171224
20171224183243,10883,20171224
20171224184033,788681,20171224
20171224184155,471189,20171224
20171223184035,77697,20171223
20171223184435,780787,20171223
20171223152352,639793,20171223
20171223153829,456886,20171223
20171223154456,594990,20171223
20171223160109,456693,20171223
20171223160420,759389,20171223
20171223174759,813597,20171223
20171222214220,324992,20171222
20171223185053,821380,20171223
20171223185129,242392,20171223
20171223154242,738691,20171223
20171224130242,325390,20171224
20171224171505,205998,20171224
20171224171520,637084,20171224
20171224171438,337799,20171224
20171224170341,317483,20171224
20171224170356,201885,20171224
20171224162038,524983,20171224
20171224162053,824499,20171224
20171224162021,808799,20171224
20171224162129,273290,20171224
20171223145314,680487,20171223
20171223145556,724387,20171223
20171224112221,255286,20171224
20171224185631,528388,20171224
20171224185655,673193,20171224
20171224190452,497992,20171224
20171224190513,354386,20171224
20171224190535,292295,20171224
20171224190648,499291,20171224
20171224190724,195194,20171224
20171224190741,324690,20171224
20171223190405,520991,20171223
20171223190337,495792,20171223
20171215193652,368693,20171215
20171224211623,388389,20171224
20171224211638,391589,20171224
20171224200446,711592,20171224
20171224201142,778797,20171224
20171224204345,116396,20171224
20171224204854,737699,20171224
20171224204520,384891,20171224
20171224204552,219395,20171224
20171224204606,397391,20171224
20171224204403,639399,20171224
20171224204533,718780,20171224
20171224204453,133396,20171224
20171224204432,706480,20171224
20171224204939,431397,20171224
20171224204327,942582,20171224
20171224195653,913198,20171224
20171224195635,426884,20171224
20171224214823,90590,20171224
20171224215115,141195,20171224
20171222134703,146685,20171222
20171222134616,324284,20171222
20171222193254,370897,20171222
20171223150429,734396,20171223
20171223150446,704190,20171223
20171223224948,598882,20171223
20171223225008,456986,20171223
20171224205525,804488,20171224
20171224205543,387295,20171224
20171225132622,190198,20171225
20171224145047,674387,20171224
20171224144959,586693,20171224
20171224145118,602480,20171224
20171224145102,753785,20171224
20171224145133,297192,20171224
20171224151319,95387,20171224
20171225144553,738999,20171225
20171225144610,140689,20171225
20171225145144,559795,20171225
20171225145159,563390,20171225
20171225152730,189286,20171225
20171225152750,552091,20171225
20171225194913,818581,20171225
20171225194925,233798,20171225
20171225170947,499099,20171225
20171225171050,972891,20171225
20171225170938,265284,20171225
20171225171005,451889,20171225
20171225170956,921980,20171225
20171225181434,292880,20171225
20171225181450,298980,20171225
20171225182722,778594,20171225
20171225182744,628089,20171225
20171221212039,855795,20171221
20171221211924,664280,20171221
20171221212001,302788,20171221
20171225161937,229789,20171225
20171225161950,236982,20171225
20171225151639,217383,20171225
20171225151830,847989,20171225
20171225151847,14594,20171225
20171225145757,268993,20171225
20171225150021,446189,20171225
20171225150004,604294,20171225
20171225155218,790196,20171225
20171225155321,461498,20171225
20171225155334,926295,20171225
20171225144407,262894,20171225
20171225145414,190593,20171225
20171225145444,88588,20171225
20171225144258,598892,20171225
20171225144318,835188,20171225
20171225163331,739594,20171225
20171225163625,512093,20171225
20171225163545,146392,20171225
20171225155157,471093,20171225
20171225155105,868895,20171225
20171225161602,27193,20171225
20171225155923,521288,20171225
20171225155949,67095,20171225
20171225165441,248494,20171225
20171225165458,368690,20171225
20171225174549,738786,20171225
20171225174439,983384,20171225
20171225174417,536681,20171225
20171225180440,156494,20171225
20171225180414,972689,20171225
20171225170437,608390,20171225
20171225170502,80388,20171225
20171225164403,572188,20171225
20171225164216,635982,20171225
20171225164200,399580,20171225
20171225164441,655298,20171225
20171225155820,35790,20171225
20171225155835,872182,20171225
20171225155849,46690,20171225
20171225165727,622791,20171225
20171224152339,875190,20171224
20171224152354,142381,20171224
20171224152900,201991,20171224
20171225173034,312295,20171225
20171225173019,888293,20171225
20171225173228,377680,20171225
20171225173034,312295,20171225
20171225173019,888293,20171225
20171225173228,377680,20171225
20171225182104,270698,20171225
20171225183307,271591,20171225
20171225183345,957796,20171225
20171225170039,735080,20171225
20171225170024,746292,20171225
20171225173040,490685,20171225
20171225173024,766188,20171225
20171225194022,422396,20171225
20171225194218,601790,20171225
20171225194036,832499,20171225
20171225194203,55388,20171225
20171225195905,798296,20171225
20171225195956,150092,20171225
20171225200020,69580,20171225
20171225200043,171591,20171225
20171225192813,809398,20171225
20171225192837,171094,20171225
20171225202449,314981,20171225
20171225204852,383993,20171225
20171225204719,637694,20171225
20171225204914,670394,20171225
20171226160827,883887,20171226
20171226160844,769480,20171226
20171226160857,917085,20171226
20171225122356,754681,20171225
20171225122335,212892,20171225
20171225162235,61288,20171225
20171225162332,353183,20171225
20171225201340,611084,20171225
20171225201322,481782,20171225
20171225220609,536289,20171225
20171225224332,306891,20171225
20171225224357,738186,20171225
20171220124625,907688,20171220
20171220124651,804596,20171220
20171225143901,277290,20171225
20171225145234,899284,20171225
20171226145525,18498,20171226
20171226145509,455381,20171226
20171226154044,580690,20171226
20171226151111,797480,20171226
20171226144806,669983,20171226
20171226144739,513487,20171226
20171226180018,179499,20171226
20171226183827,774288,20171226
20171226184035,134283,20171226
20171226183748,836393,20171226
20171226183858,503092,20171226
20171226183941,773198,20171226
20171226174453,776797,20171226
20171226192533,185594,20171226
20171226192511,387490,20171226
20171226192118,471499,20171226
20171226202156,511690,20171226
20171226205703,55485,20171226
20171226220354,707396,20171226
20171226220332,380688,20171226
20171226205559,260484,20171226
20171226205616,790589,20171226
20171226133616,291693,20171226
20171226133756,825990,20171226
20171226133847,547689,20171226
20171226152304,565099,20171226
20171226152429,654198,20171226
20171226154414,451696,20171226
20171226154430,561182,20171226
20171225215637,614196,20171225
20171225215824,794384,20171225
20171225215805,332181,20171225
20171225215550,438489,20171225
20171226172051,876194,20171226
20171226172402,176081,20171226
20171226172743,468491,20171226
20171226165851,769286,20171226
20171226165903,282494,20171226
20171226164925,238197,20171226
20171226171112,260788,20171226
20171226171147,980280,20171226
20171226171919,375983,20171226
20171226171932,45590,20171226
20171226172000,563193,20171226
20171226172722,259897,20171226
20171226172745,518982,20171226
20171226172802,281990,20171226
20171226182345,504681,20171226
20171226182436,168791,20171226
20171226180840,513290,20171226
20171226180904,44893,20171226
20171226195355,72980,20171226
20171226195419,419684,20171226
20171226195458,257999,20171226
20171226195514,787794,20171226
20171226215632,637087,20171226
20171226215551,284598,20171226
20171226174718,699581,20171226
20171226174702,842497,20171226
20171226204040,240899,20171226
20171226204055,733680,20171226
20171226195626,540493,20171226
20171226195643,183392,20171226
20171226211557,923893,20171226
20171226211612,154980,20171226
20171226211631,594791,20171226
20171226211646,209294,20171226
20171226211711,511484,20171226
20171226211728,377095,20171226
20171226211749,916399,20171226
20171226211810,177280,20171226
20171226211824,383482,20171226
20171226211844,442090,20171226
20171226211856,397595,20171226
20171226211909,532584,20171226
20171226211936,613592,20171226
20171226211950,411595,20171226
20171226212013,318187,20171226
20171226212029,438497,20171226
20171226212057,990593,20171226
20171226212110,449297,20171226
20171226212312,435182,20171226
20171226203326,97899,20171226
20171224185034,397788,20171224
20171224185049,319283,20171224
20171227171631,976588,20171227
20171227172250,13598,20171227
20171227172351,408583,20171227
20171226190352,338598,20171226
20171227153624,49394,20171227
20171227153645,481882,20171227
20171226230705,68082,20171226
20171226230723,144494,20171226
20171226230540,859593,20171226
20171226224425,833786,20171226
20171218110420,734497,20171218
20171227164505,607694,20171227
20171227164522,91798,20171227
20171227181548,366085,20171227
20171227191136,64893,20171227
20171221191720,762195,20171221
20171227183306,935384,20171227
20171227190024,910996,20171227
20171227190041,836093,20171227
20171225182512,376598,20171225
20171224063652,835287,20171224
20171219073015,421993,20171219
20171212191312,580097,20171212
20171206082935,580389,20171206
20171128212156,83286,20171128
20171227145634,767987,20171227
20171227145658,702598,20171227
20171227145546,46496,20171227
20171227145219,183497,20171227
20171227145326,865193,20171227
20171227145405,638098,20171227
20171226171800,796094,20171226
20171226171722,694789,20171226
20171227140804,589,20171227
20171227140834,669598,20171227
20171227201850,403782,20171227
20171227205808,303597,20171227
20171227211606,118482,20171227
20171227211624,877791,20171227
20171227211643,723195,20171227
20171227234142,954491,20171227
20171227195152,113894,20171227
20171227200047,146489,20171227
20171227140831,514092,20171227
20171226194649,899881,20171226
20171226194635,68599,20171226
20171227200855,110280,20171227
20171227201002,247396,20171227
20171228193424,619689,20171228
20171228174252,693096,20171228
20171228204946,170094,20171228
20171228194421,649799,20171228
20171228203015,702584,20171228
20171228181950,357792,20171228
20171228181412,190680,20171228
20171228182323,722988,20171228
20171228182433,594583,20171228
20171228144853,460093,20171228
20171228144912,499882,20171228
20171228145242,146391,20171228
20171228121432,301286,20171228
20171226133643,587894,20171226
20171226093457,368792,20171226
20171226093441,721993,20171226
20171225104833,394293,20171225
20171222191816,532294,20171222
20171219222413,996298,20171219
20171228220631,373490,20171228
20171228220606,913096,20171228
20171228220700,458280,20171228
20171228221001,949596,20171228
20171228221055,671983,20171228
20171228221030,187697,20171228
20171228232933,841390,20171228
20171228190043,626288,20171228
20171228194906,207395,20171228
20171228194950,748981,20171228
20171228194743,719681,20171228
20171228194823,824680,20171228
20171228194848,752996,20171228
20171228194805,861286,20171228
20171228194930,808793,20171228
20171228195031,38683,20171228
20171228195012,780599,20171228
20171228195221,43782,20171228
20171228195159,60383,20171228
20171228200445,514395,20171228
20171229141638,2188,20171229
20171229134446,52391,20171229
20171229151539,612584,20171229
20171229151622,348185,20171229
20171229174521,124695,20171229
20171227145938,26384,20171227
20171227161106,662589,20171227
20171229152728,823597,20171229
20171229152514,599087,20171229
20171224203334,163797,20171224
20171229200948,350084,20171229
20171229201745,211086,20171229
20171229201704,100294,20171229
20171230154316,553796,20171230
20171230152157,362889,20171230
20171230152228,388683,20171230
20171230162744,447487,20171230
20171230163926,661083,20171230
20171230185805,818685,20171230
20171230185849,990583,20171230
20171230193936,398985,20171230
20171230182615,478297,20171230
20171231143807,795299,20171231
20171231143909,93288,20171231
20180101214402,390388,20180101
20180101214404,390688,20180101
20171228220138,34689,20171228
20171228214618,738193,20171228
20171229065841,189981,20171229
20171229065858,274994,20171229
20171229065913,447195,20171229
20171229065927,889488,20171229
20171229070002,173789,20171229
20171229070036,307785,20171229
20171229070126,577484,20171229
20171228130830,583686,20171228
20171228130211,524987,20171228
20171228130855,206789,20171228
20171228130246,330095,20171228
20171228130319,950796,20171228
20171228125221,486084,20171228
20171228125247,57595,20171228
20171228124904,308583,20171228
20171228125303,499784,20171228
20171228124731,78892,20171228
20171228124828,396584,20171228
20171228124752,744994,20171228
20171228124846,771094,20171228
20171228125235,761389,20171228
20171228124809,523496,20171228
20171228130435,379395,20171228
20171230145415,457488,20171230
20171230145430,472896,20171230
20171231090922,835098,20171231
20171228100656,498097,20171228
20171230203412,251582,20171230
20171230161833,113681,20171230
20171229232051,729796,20171229
20171229232025,667088,20171229
20171229232117,839583,20171229
20171229232104,730396,20171229
20171230100932,273696,20171230
20171231162304,702098,20171231
20171227151707,371793,20171227
20180101164806,965689,20180101
20180101164836,406991,20180101
20180102121055,732996,20180102
20180102121115,25393,20180102
20180101135107,606595,20180101
20180101135040,240697,20180101
20180101135133,164399,20180101
20171226162001,14193,20171226
20171226173431,626992,20171226
20180102030839,97697,20180102
20180102030857,466195,20180102
20180102030913,96383,20180102
20180102030937,68887,20180102
20171221204358,432682,20171221
20180102154014,664883,20180102
20180102155041,897094,20180102
20180102155820,308991,20180102
20180102160117,825483,20180102
20180102161530,846197,20180102
20180102162647,272494,20180102
20180103130228,515598,20180103
20180103130243,955283,20180103
20180105083004,425693,20180105
20180105083032,254999,20180105
20180103205930,140999,20180103
20171227220713,937096,20171227
20171227220902,913393,20171227
20180103233711,406090,20180103
20180103233801,322782,20180103
20180103233958,325682,20180103
20180103234013,830397,20180103
20180103234036,133186,20180103
20171225165727,622791,20171225
20171224152339,875190,20171224
20171224152354,142381,20171224
20171224152900,201991,20171224
20180104123936,779680,20180104
20180104123948,593090,20180104
20180104124035,783996,20180104
20171222210749,868492,20171222
20180104172553,720284,20180104
20180104172608,852499,20180104
20180104192028,664385,20180104
20180104192015,608780,20180104
20180104174202,320690,20180104
20180104185736,563991,20180104
20180104185750,832397,20180104
20180102194639,237296,20180102
20180102194657,942995,20180102
20180105115959,633094,20180105
20180105120028,425989,20180105
20180105120107,222580,20180105
20180105140357,427194,20180105
20180105135604,130189,20180105
20180105183641,505789,20180105
20171224200251,315094,20171224
20171224200315,311585,20171224
20171222195024,535291,20171222
20180106002131,959783,20180106
20180106002147,822885,20180106
20180106002226,509097,20180106
20180106002331,310691,20180106
20180105163339,505997,20180105
20180105163429,177395,20180105
20180105163444,776693,20180105
20180106064836,413886,20180106
20180106064856,837994,20180106
20180104123439,734086,20180104
20180106170813,349393,20180106
20180106213335,888391,20180106
20180107173243,44382,20180107
20180107221801,52799,20180107
20180106184301,445699,20180106
20180106184315,737293,20180106
20180107223046,97380,20180107
20180107161340,91892,20180107
20180107193021,640292,20180107
20180107224010,898395,20180107
20180108012634,550787,20180108
20180108012704,426192,20180108
20180108000929,358785,20180108
20180108001022,318680,20180108
20180108001035,353586,20180108
20180108001106,162290,20180108
20171226171800,796094,20171226
20171226171722,694789,20171226
20180108164031,761280,20180108
20180108163953,44190,20180108
20180108170049,240896,20180108
20180108170344,449391,20180108
20180108174903,467488,20180108
20180108174928,777089,20180108
20180108175026,492688,20180108
20180108175042,760183,20180108
20180108190800,416080,20180108
20180108214948,567494,20180108
20180108215003,275393,20180108
20180108163200,966584,20180108
20180108160613,489894,20180108
20180108160657,609582,20180108
20180108155458,400996,20180108
20180108154620,359295,20180108
20180108182835,734290,20180108
20180108182900,914597,20180108
20180109132708,995289,20180109
20180109132632,408891,20180109
20180109132734,328790,20180109
20180109132751,782984,20180109
20180108065553,215288,20180108
20180108170814,302494,20180108
20180108171130,392096,20180108
20180108170912,125689,20180108
20180108171243,134686,20180108
20180108171204,573391,20180108
20180108171028,633597,20180108
20180108171108,242799,20180108
20180108171149,60593,20180108
20180108171225,131986,20180108
20180108171302,587891,20180108
20180109125114,987797,20180109
20180109125133,858790,20180109
20180109125709,614489,20180109
20180109193600,938699,20180109
20180109200720,319785,20180109
20180109200747,194981,20180109
20180109200811,706288,20180109
20180109200833,255794,20180109
20180109200907,181996,20180109
20180109200931,10289,20180109
20180109200958,453083,20180109
20180109201027,214481,20180109
20180109201054,279794,20180109
20180109190425,485396,20180109
20180109190445,550694,20180109
20180109201250,21993,20180109
20180109201312,445495,20180109
20171228214416,308886,20171228
20171222170747,593280,20171222
20180109201706,800088,20180109
20180109201752,514483,20180109
20180109194305,221282,20180109
20180109194253,30899,20180109
20180109194441,347884,20180109
20180110141726,629288,20180110
20180110151842,166397,20180110
20180110185612,964285,20180110
20180110185544,29187,20180110
20180110185656,749792,20180110
20180110192014,407884,20180110
20180110192030,410484,20180110
20180110192104,531989,20180110
20180110192119,322383,20180110
20180110192134,881895,20180110
20180110192148,848090,20180110
20180110192209,426084,20180110
20180110192223,893195,20180110
20180110192243,99381,20180110
20180110192258,337883,20180110
20180110133822,382989,20180110
20180110133836,385689,20180110
20180110133849,315680,20180110
20180110133912,261781,20180110
20180110134047,119088,20180110
20180110134059,536996,20180110
20171229133620,458897,20171229
20180110133319,710191,20180110
20180110133333,430496,20180110
20171226194732,270888,20171226
